20111104T013620.699341,1,56,-10.5302,8.31319,2.30387,2.47483,13.6125,21068
20111104T013620.699549,1,56,-10.5788,8.16446,2.2946,2.48582,13.5585,21182
20111104T013620.699572,1,56,-10.6534,8.11571,2.29975,2.4921,13.5885,21238
20111104T013620.699642,60,24,-10.2092,8.18217,-0.332018,2.46752,13.0869,21403
20111104T013620.699665,94,24,-10.3735,8.20702,-0.334155,2.47381,13.2309,21456
20111104T013620.699877,190,14,-10.6381,8.13003,1.03385,2.49056,13.4282,21491
20111104T013620.699885,74,24,-10.4674,8.17485,-0.334956,2.48009,13.2849,21508
20111104T013620.699886,1,26,-10.6586,8.10851,0.107861,2.49277,13.392,21511
20111104T013620.699901,142,14,-10.689,8.06303,1.03385,2.49685,13.4282,21548
20111104T013620.699908,104,24,-10.5646,8.14426,-0.335817,2.48637,13.3429,21564
20111104T013620.699909,142,26,-10.5605,7.92994,0.104449,2.49905,13.206,21568
20111104T013620.699914,72,0,-10.6859,8.21976,1.50652,2.48742,13.5648,21577
20111104T013620.699923,137,12,-10.6695,8.17702,0.578239,2.48919,13.4542,21599
20111104T013620.699924,177,14,-10.741,7.9969,1.03402,2.50313,13.4302,21602
20111104T013620.699931,100,24,-10.6602,8.11156,-0.336648,2.49266,13.3989,21618
20111104T013620.699933,70,26,-10.697,7.9276,0.10643,2.50533,13.314,21622
20111104T013620.699937,154,0,-10.6012,8.04942,1.48569,2.4937,13.3928,21631
20111104T013620.699946,193,12,-10.6473,8.05451,0.573344,2.49548,13.3622,21654
20111104T013620.699947,119,14,-10.828,7.95633,1.03804,2.50941,13.4762,21657
20111104T013620.699955,162,24,-10.6741,8.01685,-0.335965,2.49894,13.3529,21673
20111104T013620.699956,43,26,-10.7902,7.89204,0.107421,2.51162,13.368,21677
20111104T013620.699960,201,0,-10.6851,8.0339,1.49271,2.49841,13.4508,21687
20111104T013620.699969,217,12,-10.7011,8.0162,0.574408,2.50019,13.3822,21709
20111104T013620.699978,219,24,-10.7005,7.95813,-0.335758,2.50365,13.3389,21727
20111104T013620.699979,82,57,-10.7157,8.1529,2.24187,2.48968,13.6499,21730
20111104T013620.699984,83,0,-10.7689,7.9914,1.4978,2.5047,13.4928,21741
20111104T013620.699992,123,12,-10.7609,7.95591,0.575046,2.50647,13.3942,21762
20111104T013620.700002,68,57,-10.7478,8.07118,2.23787,2.49596,13.6259,21785
20111104T013620.700003,77,27,-10.6203,8.17453,0.0327124,2.48408,13.4013,21788
20111104T013620.700141,76,0,-10.8702,7.96104,1.50556,2.51098,13.5568,21798
20111104T013620.700150,42,12,-10.8915,7.94688,0.580367,2.51276,13.4942,21821
20111104T013620.700152,177,15,-10.6818,8.16338,0.970069,2.48753,13.4783,21827
20111104T013620.700159,77,57,-10.8141,8.01525,2.2412,2.50225,13.6459,21847
20111104T013620.700161,68,27,-10.7382,8.15855,0.0337814,2.49036,13.4853,21850
20111104T013620.700175,85,15,-10.6773,8.05401,0.964317,2.49382,13.4083,21889
20111104T013620.700182,37,24,-10.7232,7.66567,-0.333472,2.5225,13.1849,21905
20111104T013620.700183,199,25,-10.5221,8.12461,-0.413831,2.48254,13.2995,21907
20111104T013620.700183,50,57,-10.8992,7.97282,2.24853,2.50853,13.6899,21908
20111104T013620.700184,152,27,-10.6167,7.96108,0.0310325,2.49664,13.2693,21911
20111104T013620.700185,1,28,-10.7924,8.99936,-0.48574,2.44799,14.0599,21913
20111104T013620.700189,155,1,-10.6981,8.18894,1.42948,2.48676,13.5474,21920
20111104T013620.700199,169,15,-10.7085,7.97245,0.962345,2.5001,13.3843,21947
20111104T013620.700205,60,24,-10.7057,7.55213,-0.332285,2.52878,13.1049,21963
20111104T013620.700206,254,25,-10.627,8.09964,-0.415242,2.48882,13.3675,21965
20111104T013620.700207,86,27,-10.7355,7.94548,0.032127,2.50293,13.3553,21969
20111104T013620.700208,1,28,-10.7638,8.8616,-0.483018,2.45428,13.9499,21971
20111104T013620.700210,35,30,-10.2407,8.19308,-0.0201387,2.46837,13.1141,21975
20111104T013620.700212,53,1,-10.7003,8.08436,1.42232,2.49305,13.4854,21980
20111104T013620.700221,99,13,-10.7117,8.11256,0.502537,2.49189,13.4457,22001
20111104T013620.700222,64,15,-10.8049,7.93931,0.967111,2.50638,13.4423,22005
20111104T013620.700229,254,25,-10.783,8.1122,-0.417982,2.4951,13.4995,22022
20111104T013620.700231,1,28,-10.7027,8.69939,-0.479306,2.46056,13.7999,22027
20111104T013620.700233,1,30,-10.369,8.18919,-0.0192592,2.47466,13.2121,22030
20111104T013620.700235,149,1,-10.7208,8.02073,1.41977,2.49776,13.4634,22036
20111104T013620.700244,202,13,-10.6891,8.01635,0.498918,2.4966,13.3697,22055
