20111104T013029.330272,1,56,-6.23549,-10.1552,2.04259,4.16343,12.0905,36736
20111104T013029.330495,1,56,-6.39133,-10.7103,2.13941,4.176,12.6545,36856
20111104T013029.330518,1,56,-6.31395,-10.7333,2.13598,4.18228,12.6345,36918
20111104T013029.330542,1,56,-5.94284,-10.2473,2.03023,4.18856,12.0185,36978
20111104T013029.330766,1,56,-5.65251,-10.298,2.01306,4.21213,11.9185,37220
20111104T013029.330790,1,57,-6.22276,-10.1928,1.98454,4.16258,12.1059,37284
20111104T013029.330813,28,57,-6.44619,-10.7077,2.07854,4.16886,12.6699,37345
20111104T013029.330859,10,56,-5.32515,-10.2672,1.98147,4.23569,11.7345,37464
20111104T013029.330860,1,57,-5.88552,-10.027,1.93121,4.17986,11.7859,37466
20111104T013029.331001,28,0,-5.7366,-10.036,1.27198,4.19487,11.6288,37479
20111104T013029.331019,17,56,-5.28554,-10.3497,1.99109,4.24197,11.7905,37526
20111104T013029.331019,90,57,-5.9492,-10.282,1.97387,4.18614,12.0419,37528
20111104T013029.331024,1,0,-5.8065,-10.3091,1.30518,4.20116,11.9028,37539
20111104T013029.331042,1,56,-5.20012,-10.3422,1.98319,4.24825,11.7445,37585
20111104T013029.331065,2,56,-5.1333,-10.3711,1.9825,4.25454,11.7405,37646
20111104T013029.331066,4,57,-5.90383,-10.5054,2.00287,4.19871,12.2159,37648
20111104T013029.331089,1,56,-5.04482,-10.3553,1.97323,4.26082,11.6865,37705
20111104T013029.331089,1,57,-5.69301,-10.282,1.95254,4.20499,11.9139,37707
20111104T013029.331112,1,56,-4.93807,-10.2996,1.95641,4.2671,11.5885,37766
20111104T013029.331135,1,56,-4.87242,-10.3287,1.95606,4.27339,11.5865,37828
20111104T013029.331138,30,60,-6.23492,-10.1462,1.89339,4.16308,12.0583,37835
20111104T013029.331315,4,56,-4.84857,-10.4051,1.96636,4.2781,11.6465,37891
20111104T013029.331318,16,60,-6.28625,-10.3393,1.92439,4.16779,12.2523,37898
20111104T013029.331325,1,6,-6.31875,-10.624,1.66585,4.17747,12.472,37915
20111104T013029.331338,1,56,-4.92621,-10.7491,2.02645,4.28438,11.9965,37952
20111104T013029.331339,42,57,-5.37213,-10.2667,1.92454,4.22855,11.7459,37954
20111104T013029.331348,1,6,-6.25587,-10.6703,1.667,4.18376,12.48,37978
20111104T013029.331361,1,56,-4.76905,-10.5803,1.98834,4.29067,11.7745,38015
20111104T013029.331362,27,57,-5.2758,-10.2389,1.91287,4.23483,11.6759,38017
20111104T013029.331371,32,6,-6.16402,-10.6665,1.65978,4.19004,12.43,38040
20111104T013029.331385,1,56,-4.56013,-10.2874,1.92688,4.29695,11.4165,38076
20111104T013029.331387,23,60,-5.94956,-10.2134,1.87902,4.18664,11.9683,38084
20111104T013029.331395,1,6,-6.03047,-10.588,1.64012,4.19632,12.294,38103
20111104T013029.331409,1,57,-5.17236,-10.3555,1.92254,4.2474,11.7339,38140
20111104T013029.331411,44,60,-5.83528,-10.1632,1.86272,4.19292,11.8663,38146
20111104T013029.331432,92,57,-5.019,-10.2092,1.88888,4.25368,11.5319,38200
20111104T013029.331434,56,60,-5.89053,-10.4112,1.90202,4.19921,12.1123,38206
20111104T013029.331580,29,0,-5.16469,-10.7752,1.31947,4.26713,12.0208,38213
